N,62,,,*,1,1,CET,0,17,5.3,-,13,29,11,14.1,13.2,0.9,12.6,1.1,0.8,130,Sa,1125,"MCG -2-1-43","IRAS 00145-1345",,,,,,,,,
N,63,,,*,1,1,PSC,0,17,45.5,+,11,27,0,12.6,11.7,0.9,12.3,1.7,1.2,108,S?,1160,"UGC 167","MCG 2-1-30","CGCG 433-42","IRAS 00151+1110",,,,,,,
N,64,,,*,1,1,CET,0,17,30.3,-,6,49,30,14,13.2,0.8,13.7,1.6,1.1,39,SBbc,1149,"MCG -1-1-68","IRAS 00149-0706",,,,,,,,,
N,65,,,*,1,1,CET,0,18,58.7,-,22,52,48,14.8,13.9,0.9,12.9,1,0.8,5,E/SB0,1229,"ESO 473-10A","MCG -4-2-1",,,,,,,,,
N,66,,,*,1,1,CET,0,19,4.9,-,22,56,11,14.3,13.5,0.8,13.1,1.2,0.7,32,SBb,1236,"ESO 473-10","MCG -4-2-2","AM 0016-231","IRAS 00165-2312",,,,,,,
N,67,,,*,1,1,AND,0,18,14.9,+,30,3,48,15.2,14.2,1,11.5,0.3,0.2,51,E3,1185,"MCG 5-1-64","CGCG 499-104","ARAK 4","Arp 113","VV 166",,,,,,
N,67,A,,,1,1,AND,0,18,12.1,+,30,3,19,15.7,14.7,1,12,0.4,0.2,100,E5,138159,"Arp 113","VV 166",,,,,,,,,
N,68,,,*,1,1,AND,0,18,18.2,+,30,4,21,13.9,12.9,1,13,1.2,1.1,0,E-S0,1187,"UGC 170","MCG 5-1-65","CGCG 499-106","Arp 113","VV 166","IRAS 00157+2947",,,,,
N,69,,,*,1,1,AND,0,18,20.4,+,30,2,26,15.8,14.7,1.1,14.1,0.5,0.3,33,E/SB0,1191,"MCG 5-1-66","CGCG 499-105","ARAK 5","Arp 113","VV 166","NPM1G +29.0011",,,,,
N,70,,,*,1,1,AND,0,18,22.4,+,30,4,44,14.3,13.5,0.8,13.9,1.6,1.4,0,Sbc,1194,"IC 1539","UGC 174","MCG 5-1-67","CGCG 499-108","Arp 113","VV 166",,,,,
N,71,,,*,1,1,AND,0,18,23.5,+,30,3,47,14.2,13.2,1,13.4,1.2,0.9,129,E-S0/P,1197,"UGC 173","MCG 5-1-68","CGCG 499-107","Arp 113","VV 166",,,,,,
N,72,,,*,1,1,AND,0,18,28.4,+,30,2,26,14.5,13.5,1,13.4,1.1,0.9,15,SBab,1204,"UGC 176","MCG 5-1-69","CGCG 499-109","Arp 113","VV 166",,,,,,
N,72,A,,,1,1,AND,0,18,34.3,+,30,2,10,15.7,14.7,1,12,0.3,0.3,,E3,1208,"MCG 5-1-70","CGCG 499-110","ARAK 6","VV 166",,,,,,,
N,73,,,*,1,1,CET,0,18,38.9,-,15,19,18,14.5,13.7,0.8,14.3,1.7,1.2,145,Sbc,1211,"MCG -3-1-26","NPM1G -15.0014",,,,,,,,,
N,74,,,*,1,1,AND,0,18,49.5,+,30,3,41,15.6,14.8,0.8,13.1,0.8,0.3,131,Sb,1219,"MCG 5-1-71",,,,,,,,,,
N,75,,,*,1,1,PSC,0,19,26.3,+,6,26,59,14.2,13.2,1,13.3,1.1,1.1,,S0,1255,"UGC 182","MCG 1-1-51","CGCG 408-48","NPM1G +06.0009",,,,,,,
N,76,,,*,1,1,AND,0,19,37.7,+,29,56,3,14.1,13.1,1,12.8,1,0.9,65,C,1267,"UGC 185","MCG 5-1-72","CGCG 499-111",,,,,,,,
N,77,,,*,1,1,CET,0,20,1.6,-,22,31,56,15.8,14.8,1,12.7,0.4,0.4,,E-S0,1290,"ESO 473-15","NPM1G -22.0006",,,,,,,,,
N,78,,1,*,1,1,PSC,0,20,25.8,+,0,49,35,13.7,12.8,0.9,13.3,1.1,0.7,80,SB0-a,1306,"NGC 78A","UGC 193","MCG 0-2-4","IRAS 00178+0032","KCPG 6B","MK 547","CGCG 383-1",,,,
N,78,,2,,1,1,PSC,0,20,27.5,+,0,50,0,14.4,13.5,0.9,12.3,1,0.7,134,S0,1309,"NGC 78B","UGC 194","MCG 0-2-5","KCPG 6A","KUG 0017+005","MK 547","CGCG 383-1",,,,
N,78,A,,,7,1,PSC,0,20,25.8,+,0,49,35,13.7,12.8,0.9,13.3,1.1,0.7,80,SB0-a,1306,"NGC 78-1","UGC 193","MCG 0-2-4","IRAS 00178+0032","KCPG 6B","MK 547","CGCG 383-1",,,,
N,78,B,,,7,1,PSC,0,20,27.5,+,0,50,0,14.4,13.5,0.9,12.3,1,0.7,134,S0,1309,"NGC 78-2","UGC 194","MCG 0-2-5","KCPG 6A","KUG 0017+005","MK 547","CGCG 383-1",,,,
N,79,,,*,1,1,AND,0,21,2.8,+,22,34,2,15,14,1,13,0.6,0.6,,E-S0,1340,"MCG 4-2-3","CGCG 479-3","NPM1G +22.0015",,,,,,,,
N,80,,,*,1,1,AND,0,21,10.9,+,22,21,28,13.1,12.1,1,13.2,1.6,1.6,,E-S0,1351,"UGC 203","MCG 4-2-4","CGCG 479-6",,,,,,,,
N,81,,,*,1,1,AND,0,21,13.2,+,22,23,0,16.5,15.7,0.8,11.3,0.2,0.1,84,S,1352,"NPM1G +22.0016",,,,,,,,,,
N,82,,,*,9,1,AND,0,21,17.6,+,22,27,40,,,,,,,,*,,,,,,,,,,,,
N,83,,,*,1,1,AND,0,21,22.6,+,22,26,3,13.6,12.5,1.1,13.3,1.5,1.5,,E0,1371,"UGC 206","MCG 4-2-5","CGCG 479-8",,,,,,,,
N,84,,,*,9,1,AND,0,21,21.2,+,22,37,9,,,,,,,,*,,,,,,,,,,,,
